キャンペーンのパフォーマンス
2021年1月1日 - 2026年6月15日
時間帯,曜日,キャンペーン,クリック数,表示回数,クリック率,通貨コード,平均クリック単価,費用,コンバージョン,コンバージョン率,コンバージョン単価
0,土曜日,NEW［不動産］リースバック,0,0,0,JPY,0,0,0.00,0,0
0,日曜日,NEW［不動産］リースバック｜2026,5,47,10.64%,JPY,847,4236,0.00,0.00%,0
0,月曜日,NEW［不動産］リースバック｜2026,5,39,12.82%,JPY,2595,12974,0.00,0.00%,0
0,火曜日,NEW［不動産］リースバック｜2026,3,30,10.00%,JPY,940,2821,0.00,0.00%,0
0,水曜日,NEW［不動産］リースバック｜2026,0,23,0.00%,JPY,0,0,0.00,0,0
0,木曜日,NEW［不動産］リースバック｜2026,4,50,8.00%,JPY,926,3705,0.00,0.00%,0
0,金曜日,NEW［不動産］リースバック｜2026,5,68,7.35%,JPY,96,482,0.00,0.00%,0
0,土曜日,NEW［不動産］リースバック｜2026,9,108,8.33%,JPY,650,5846,0.00,0.00%,0
0,日曜日,［不動産］リースバック｜強化,29,373,7.77%,JPY,404,11707,0.00,0.00%,0
0,月曜日,［不動産］リースバック｜強化,30,409,7.33%,JPY,745,22351,1.00,3.33%,22351
0,火曜日,［不動産］リースバック｜強化,22,392,5.61%,JPY,2025,44541,0.00,0.00%,0
0,水曜日,［不動産］リースバック｜強化,30,451,6.65%,JPY,852,25567,0.00,0.00%,0
0,木曜日,［不動産］リースバック｜強化,29,509,5.70%,JPY,1905,55248,1.00,3.45%,55248
0,金曜日,［不動産］リースバック｜強化,24,507,4.73%,JPY,638,15321,0.00,0.00%,0
0,土曜日,［不動産］リースバック｜強化,49,477,10.27%,JPY,1417,69437,3.00,6.12%,23146
1,日曜日,01_指名,0,0,0,JPY,0,0,0.00,0,0
1,月曜日,01_指名,0,0,0,JPY,0,0,0.00,0,0
1,火曜日,01_指名,0,0,0,JPY,0,0,0.00,0,0
