キャンペーンのパフォーマンス
2021年1月1日 - 2026年6月15日
日,キャンペーン,クリック数,表示回数,クリック率,通貨コード,平均クリック単価,費用,コンバージョン,コンバージョン率,コンバージョン単価,すべてのコンバージョン,すべてのコンバージョン値,検索広告の最上部インプレッション シェア,検索広告の上部インプレッション シェア,検索広告のインプレッション シェア,検索広告の IS 損失率（ランク）,検索広告の IS 損失率（予算）
2024-02-14,02_一般／リースバック-部分一致｜再々構築 #5,74,557,13.29%,JPY,724,53609,2.00,2.70%,26804,2.00,"2,000.00",< 10 %,15.98%,17.30%,13.53%,69.17%
2024-02-15,01_指名,0,0,0,JPY,0,0,0.00,0,0,0.00,0.00, --, --, --, --, --
2024-02-15,02_一般／リースバック-部分一致｜再々構築 #5,83,733,11.32%,JPY,621,51570,1.00,1.20%,51570,1.00,"1,000.00",< 10 %,17.11%,18.81%,33.15%,48.03%
2024-02-16,01_指名,1,1,100.00%,JPY,654,654,0.00,0.00%,0,0.00,0.00,< 10 %,100.00%,100.00%,0.00%,0.00%
2024-02-16,02_一般／リースバック-部分一致｜再々構築 #5,75,694,10.81%,JPY,694,52022,1.00,1.33%,52022,1.00,"1,000.00",< 10 %,17.98%,19.48%,18.09%,62.42%
2024-02-17,02_一般／リースバック-部分一致｜再々構築 #5,72,574,12.54%,JPY,630,45386,0.00,0.00%,0,0.00,0.00,< 10 %,20.18%,21.68%,16.69%,61.63%
2024-02-18,02_一般／リースバック-部分一致｜再々構築 #5,70,507,13.81%,JPY,864,60451,0.00,0.00%,0,0.00,0.00,< 10 %,16.05%,17.59%,17.98%,64.43%
2024-02-19,02_一般／リースバック-部分一致｜再々構築 #5,82,508,16.14%,JPY,840,68843,1.00,1.22%,68843,1.00,"1,000.00",< 10 %,13.41%,14.43%,11.89%,73.68%
2024-02-20,02_一般／リースバック-部分一致｜再々構築 #5,95,838,11.34%,JPY,590,56086,1.00,1.05%,56086,1.00,"1,000.00",< 10 %,19.35%,20.77%,18.25%,60.97%
2024-02-21,02_一般／リースバック-部分一致｜再々構築 #5,60,520,11.54%,JPY,932,55910,4.00,6.67%,13977,4.00,"4,000.00",< 10 %,17.83%,19.44%,16.94%,63.62%
2024-02-22,02_一般／リースバック-部分一致｜再々構築 #5,62,463,13.39%,JPY,771,47827,3.00,4.84%,15942,3.00,"3,000.00",< 10 %,11.77%,12.80%,33.19%,54.00%
2024-02-23,01_指名,2,3,66.67%,JPY,1647,3294,0.00,0.00%,0,0.00,0.00,< 10 %,100.00%,100.00%,0.00%,0.00%
2024-02-23,02_一般／リースバック-部分一致｜再々構築 #5,72,516,13.95%,JPY,877,63141,3.00,4.17%,21047,3.00,"3,000.00",< 10 %,17.66%,19.37%,17.66%,62.98%
2024-02-24,01_指名,1,5,20.00%,JPY,295,295,0.00,0.00%,0,0.00,0.00,40.00%,100.00%,100.00%,0.00%,0.00%
2024-02-24,02_一般／リースバック-部分一致｜再々構築 #5,61,603,10.12%,JPY,771,47006,1.00,1.64%,47006,1.00,"1,000.00",< 10 %,17.40%,18.93%,36.47%,44.60%
2024-02-25,02_一般／リースバック-部分一致｜再々構築 #5,45,442,10.18%,JPY,1135,51065,2.00,4.44%,25533,2.00,"2,000.00",< 10 %,16.72%,18.32%,16.50%,65.18%
2024-02-26,02_一般／リースバック-部分一致｜再々構築 #5,36,345,10.43%,JPY,1219,43870,1.00,2.78%,43870,1.00,"1,000.00",< 10 %,12.33%,14.33%,13.07%,72.60%
2024-02-27,02_一般／リースバック-部分一致｜再々構築 #5,56,520,10.77%,JPY,760,42566,0.00,0.00%,0,0.00,0.00,< 10 %,13.16%,15.31%,16.46%,68.23%
2024-02-28,02_一般／リースバック-部分一致｜再々構築 #5,35,380,9.21%,JPY,1248,43687,2.00,5.71%,21844,2.00,"2,000.00",< 10 %,12.05%,13.66%,6.93%,79.41%
2024-02-29,02_一般／リースバック-部分一致｜再々構築 #5,44,386,11.40%,JPY,951,41863,1.00,2.27%,41863,1.00,"1,000.00",< 10 %,10.90%,11.98%,12.62%,75.40%
2024-03-01,02_一般／リースバック-部分一致｜再々構築 #5,61,527,11.57%,JPY,805,49081,2.00,3.28%,24540,2.00,"2,000.00",< 10 %,15.25%,16.76%,12.14%,71.10%
2024-03-02,01_指名,0,0,0,JPY,0,0,0.00,0,0,0.00,0.00, --, --, --, --, --
2024-03-02,02_一般／リースバック-部分一致｜再々構築 #5,60,488,12.30%,JPY,894,53656,2.00,3.33%,26828,2.00,"2,000.00",< 10 %,15.47%,17.56%,13.72%,68.71%
2024-03-03,01_指名,0,1,0.00%,JPY,0,0,0.00,0,0,0.00,0.00,< 10 %,50.00%,50.00%,50.00%,0.00%
2024-03-03,02_一般／リースバック-部分一致｜再々構築 #5,68,543,12.52%,JPY,671,45623,1.00,1.47%,45623,1.00,"1,000.00",< 10 %,17.67%,19.01%,12.57%,68.42%
2024-03-04,02_一般／リースバック-部分一致｜再々構築 #5,57,453,12.58%,JPY,1118,63706,3.00,5.26%,21235,3.00,"3,000.00",< 10 %,11.73%,12.88%,7.46%,79.66%
2024-03-05,02_一般／リースバック-部分一致｜再々構築 #5,63,635,9.92%,JPY,868,54702,2.00,3.17%,27351,2.00,"2,000.00",< 10 %,15.25%,17.15%,14.51%,68.33%
2024-03-06,01_指名,1,1,100.00%,JPY,1132,1132,0.00,0.00%,0,0.00,0.00,50.00%,50.00%,50.00%,50.00%,0.00%
2024-03-06,02_一般／リースバック-部分一致｜再々構築 #5,81,695,11.65%,JPY,765,61928,3.00,3.70%,20643,3.00,"3,000.00",< 10 %,16.88%,18.35%,11.85%,69.80%
2024-03-07,02_一般／リースバック-部分一致｜再々構築 #5,45,434,10.37%,JPY,1162,52309,4.00,8.89%,13077,4.00,"4,000.00",< 10 %,10.05%,11.67%,8.15%,80.18%
2024-03-08,01_指名,0,1,0.00%,JPY,0,0,0.00,0,0,0.00,0.00, --, --, --, --, --
2024-03-08,02_一般／リースバック-部分一致｜再々構築 #5,59,465,12.69%,JPY,951,56096,1.00,1.69%,56096,1.00,"1,000.00",< 10 %,11.30%,12.28%,13.35%,74.37%
2024-03-09,02_一般／リースバック-部分一致｜再々構築 #5,88,748,11.76%,JPY,520,45780,1.00,1.14%,45780,1.00,"1,000.00",< 10 %,21.54%,23.18%,13.37%,63.45%
2024-03-10,02_一般／リースバック-部分一致｜再々構築 #5,60,447,13.42%,JPY,785,47079,1.00,1.67%,47079,1.00,"1,000.00",< 10 %,14.06%,15.57%,14.88%,69.55%
2024-03-11,02_一般／リースバック-部分一致｜再々構築 #5,82,559,14.67%,JPY,594,48726,1.00,1.22%,48726,1.00,"1,000.00",< 10 %,13.38%,14.36%,7.25%,78.39%
2024-03-12,01_指名,0,0,0,JPY,0,0,0.00,0,0,0.00,0.00, --, --, --, --, --
2024-03-12,02_一般／リースバック-部分一致｜再々構築 #5,74,500,14.80%,JPY,691,51134,0.00,0.00%,0,0.00,0.00,< 10 %,< 10 %,10.93%,7.27%,81.80%
2024-03-13,01_指名,1,2,50.00%,JPY,373,373,0.00,0.00%,0,0.00,0.00,40.00%,40.00%,40.00%,60.00%,0.00%
2024-03-13,02_一般／リースバック-部分一致｜再々構築 #5,70,698,10.03%,JPY,763,53434,3.00,4.29%,17811,3.00,"3,000.00",< 10 %,15.68%,17.07%,11.79%,71.14%
2024-03-14,02_一般／リースバック-部分一致｜再々構築 #5,81,751,10.79%,JPY,632,51157,0.00,0.00%,0,0.00,0.00,< 10 %,14.46%,15.94%,36.37%,47.69%
2024-03-15,02_一般／リースバック-部分一致｜再々構築 #5,40,258,15.50%,JPY,1117,44670,0.00,0.00%,0,0.00,0.00,< 10 %,< 10 %,10.36%,54.55%,35.09%
2024-03-16,02_一般／リースバック-部分一致｜再々構築 #5,61,503,12.13%,JPY,614,37442,0.00,0.00%,0,0.00,0.00,< 10 %,14.28%,16.76%,76.98%,6.26%
2024-03-17,02_一般／リースバック-部分一致｜再々構築 #5,4,72,5.56%,JPY,1078,4313,0.00,0.00%,0,0.00,0.00,< 10 %,< 10 %,< 10 %,20.68%,72.32%
2024-03-19,02_一般／リースバック-部分一致｜再々構築 #5,0,0,0,JPY,0,0,0.00,0,0,0.00,0.00, --, --, --, --, --
2024-03-20,02_一般／リースバック-部分一致｜再々構築 #5,88,512,17.19%,JPY,661,58134,3.00,3.41%,19378,3.00,"3,000.00",20.24%,60.27%,64.22%,30.84%,4.94%
2024-03-21,02_一般／リースバック-部分一致｜再々構築 #5,77,576,13.37%,JPY,1052,81002,8.80,11.43%,9205,8.80,"8,800.00",< 10 %,27.22%,30.68%,37.81%,31.51%
2024-03-22,02_一般／リースバック-部分一致｜再々構築 #5,63,664,9.49%,JPY,961,60536,1.20,1.90%,50447,1.20,"1,200.00",< 10 %,19.29%,21.93%,19.61%,58.47%
2024-03-23,02_一般／リースバック-部分一致｜再々構築 #5,43,300,14.33%,JPY,1006,43254,1.00,2.33%,43254,1.00,"1,000.00",< 10 %,12.62%,13.32%,13.46%,73.22%
2024-03-24,02_一般／リースバック-部分一致｜再々構築 #5,44,311,14.15%,JPY,1013,44570,1.00,2.27%,44570,1.00,"1,000.00",< 10 %,13.65%,14.85%,7.11%,78.04%
2024-03-25,02_一般／リースバック-部分一致｜再々構築 #5,71,534,13.30%,JPY,1027,72927,1.00,1.41%,72927,1.00,"1,000.00",< 10 %,17.54%,19.87%,15.06%,65.06%
2024-03-26,02_一般／リースバック-部分一致｜再々構築 #5,68,553,12.30%,JPY,935,63566,3.00,4.41%,21189,3.00,"3,000.00",< 10 %,14.82%,16.64%,14.22%,69.14%
2024-03-27,02_一般／リースバック-部分一致｜再々構築 #5,61,462,13.20%,JPY,927,56575,0.00,0.00%,0,0.00,0.00,< 10 %,14.93%,16.67%,13.77%,69.56%
2024-03-28,02_一般／リースバック-部分一致｜再々構築 #5,60,417,14.39%,JPY,923,55390,5.00,8.33%,11078,5.00,"5,000.00",< 10 %,10.49%,11.87%,14.72%,73.41%
2024-03-29,02_一般／リースバック-部分一致｜再々構築 #5,40,332,12.05%,JPY,1009,40343,1.00,2.50%,40343,1.00,"1,000.00",< 10 %,< 10 %,10.40%,15.20%,74.40%
2024-03-30,02_一般／リースバック-部分一致｜再々構築 #5,12,120,10.00%,JPY,2587,31049,0.00,0.00%,0,0.00,0.00,< 10 %,< 10 %,< 10 %,5.12%,87.65%
2024-03-31,02_一般／リースバック-部分一致｜再々構築 #5,34,272,12.50%,JPY,642,21839,1.00,2.94%,21839,1.00,"1,000.00",< 10 %,< 10 %,10.46%,9.11%,80.42%
2024-04-01,02_一般／リースバック-部分一致｜再々構築 #5,38,297,12.79%,JPY,1368,51981,3.00,7.89%,17327,3.00,"3,000.00",< 10 %,< 10 %,10.16%,13.79%,76.05%
2024-04-02,02_一般／リースバック-部分一致｜再々構築 #5,53,470,11.28%,JPY,1184,62750,0.00,0.00%,0,0.00,0.00,< 10 %,12.30%,13.97%,11.88%,74.15%
2024-04-03,02_一般／リースバック-部分一致｜再々構築 #5,61,517,11.80%,JPY,1004,61271,1.00,1.64%,61271,1.00,"1,000.00",< 10 %,11.54%,13.28%,16.43%,70.29%
2024-04-04,02_一般／リースバック-部分一致｜再々構築 #5,63,501,12.57%,JPY,847,53345,1.00,1.59%,53345,1.00,"1,000.00",< 10 %,13.06%,15.12%,16.64%,68.24%
2024-04-05,02_一般／リースバック-部分一致｜再々構築 #5,78,547,14.26%,JPY,705,54969,2.00,2.56%,27484,2.00,"2,000.00",< 10 %,13.81%,15.40%,15.63%,68.97%
2024-04-06,02_一般／リースバック-部分一致｜再々構築 #5,39,323,12.07%,JPY,892,34792,2.00,5.13%,17396,2.00,"2,000.00",< 10 %,11.62%,13.25%,23.13%,63.62%
2024-04-07,02_一般／リースバック-部分一致｜再々構築 #5,55,480,11.46%,JPY,803,44180,1.00,1.82%,44180,1.00,"1,000.00",< 10 %,19.39%,21.38%,45.49%,33.13%
2024-04-08,02_一般／リースバック-部分一致｜再々構築 #5,59,479,12.32%,JPY,1036,61135,1.00,1.69%,61135,1.00,"1,000.00",< 10 %,11.63%,13.48%,28.02%,58.50%
2024-04-09,02_一般／リースバック-部分一致｜再々構築 #5,55,518,10.62%,JPY,702,38629,1.00,1.82%,38629,1.00,"1,000.00",< 10 %,12.92%,14.85%,59.01%,26.14%
2024-04-10,02_一般／リースバック-部分一致｜再々構築 #5,27,284,9.51%,JPY,1419,38320,1.00,3.70%,38320,1.00,"1,000.00",< 10 %,< 10 %,< 10 %,43.70%,47.37%
2024-04-11,02_一般／リースバック-部分一致｜再々構築 #5,38,227,16.74%,JPY,1052,39970,0.00,0.00%,0,0.00,0.00,< 10 %,< 10 %,< 10 %,31.56%,60.05%
2024-04-12,02_一般／リースバック-部分一致｜再々構築 #5,31,334,9.28%,JPY,879,27243,4.00,12.90%,6811,4.00,"4,000.00",< 10 %,< 10 %,< 10 %,45.41%,48.88%
2024-04-13,02_一般／リースバック-部分一致｜再々構築 #5,34,514,6.61%,JPY,886,30120,1.00,2.94%,30120,1.00,"1,000.00",< 10 %,< 10 %,< 10 %,57.65%,32.99%
2024-04-14,02_一般／リースバック-部分一致｜再々構築 #5,35,459,7.63%,JPY,987,34537,3.00,8.57%,11512,3.00,"3,000.00",< 10 %,< 10 %,< 10 %,64.32%,27.10%
2024-04-15,02_一般／リースバック-部分一致｜再々構築 #5,49,512,9.57%,JPY,976,47827,1.00,2.04%,47827,1.00,"1,000.00",< 10 %,11.03%,12.46%,71.90%,15.65%
2024-04-16,02_一般／リースバック-部分一致｜再々構築 #5,59,459,12.85%,JPY,653,38515,0.00,0.00%,0,0.00,0.00,< 10 %,15.16%,17.46%,57.35%,25.19%
2024-04-17,02_一般／リースバック-部分一致｜再々構築 #5,35,312,11.22%,JPY,975,34136,1.00,2.86%,34136,1.00,"1,000.00",< 10 %,12.98%,14.65%,73.40%,11.95%
2024-04-18,02_一般／リースバック-部分一致｜再々構築 #5,43,354,12.15%,JPY,887,38131,1.00,2.33%,38131,1.00,"1,000.00",< 10 %,15.28%,16.98%,67.50%,15.51%
2024-04-19,02_一般／リースバック-部分一致｜再々構築 #5,31,290,10.69%,JPY,1034,32058,3.00,9.68%,10686,3.00,"3,000.00",< 10 %,13.67%,15.18%,55.82%,29.00%
2024-04-20,02_一般／リースバック-部分一致｜再々構築 #5,54,397,13.60%,JPY,726,39181,0.00,0.00%,0,0.00,0.00,< 10 %,18.32%,20.81%,58.77%,20.41%
2024-04-21,02_一般／リースバック-部分一致｜再々構築 #5,40,366,10.93%,JPY,874,34970,1.00,2.50%,34970,1.00,"1,000.00",< 10 %,20.73%,22.34%,51.69%,25.97%
2024-04-22,02_一般／リースバック-部分一致｜再々構築 #5,43,386,11.14%,JPY,755,32476,0.00,0.00%,0,0.00,0.00,< 10 %,13.23%,14.93%,38.25%,46.82%
2024-04-23,02_一般／リースバック-部分一致｜再々構築 #5,29,275,10.55%,JPY,1046,30326,1.00,3.45%,30326,1.00,"1,000.00",< 10 %,12.84%,14.36%,47.66%,37.98%
2024-04-24,02_一般／リースバック-部分一致｜再々構築 #5,37,316,11.71%,JPY,873,32294,0.00,0.00%,0,0.00,0.00,< 10 %,13.17%,14.77%,54.19%,31.04%
2024-04-25,02_一般／リースバック-部分一致｜再々構築 #5,21,167,12.57%,JPY,2095,44000,1.00,4.76%,44000,1.00,"1,000.00",< 10 %,< 10 %,< 10 %,36.83%,53.25%
2024-04-26,02_一般／リースバック-部分一致｜再々構築 #5,33,301,10.96%,JPY,1047,34550,0.00,0.00%,0,0.00,0.00,< 10 %,11.71%,14.30%,49.23%,36.47%
2024-04-27,02_一般／リースバック-部分一致｜再々構築 #5,30,268,11.19%,JPY,989,29661,0.00,0.00%,0,0.00,0.00,< 10 %,15.54%,17.33%,57.61%,25.06%
2024-04-28,02_一般／リースバック-部分一致｜再々構築 #5,27,251,10.76%,JPY,1200,32397,1.00,3.70%,32397,1.00,"1,000.00",< 10 %,15.90%,17.92%,55.38%,26.70%
2024-04-29,02_一般／リースバック-部分一致｜再々構築 #5,46,366,12.57%,JPY,678,31177,5.00,10.87%,6235,5.00,"5,000.00",< 10 %,15.38%,17.65%,64.99%,17.36%
2024-04-30,01_指名,0,0,0,JPY,0,0,0.00,0,0,0.00,0.00, --, --, --, --, --
2024-04-30,02_一般／リースバック-部分一致｜再々構築 #5,27,202,13.37%,JPY,999,26971,1.00,3.70%,26971,1.00,"1,000.00",< 10 %,10.26%,11.62%,54.43%,33.95%
2024-05-01,01_指名,1,1,100.00%,JPY,573,573,0.00,0.00%,0,0.00,0.00,100.00%,100.00%,100.00%,0.00%,0.00%
2024-05-01,02_一般／リースバック-部分一致｜再々構築 #5,32,235,13.62%,JPY,1095,35043,2.00,6.25%,17521,2.00,"2,000.00",< 10 %,12.15%,13.77%,72.46%,13.77%
2024-05-02,02_一般／リースバック-部分一致｜再々構築 #5,33,255,12.94%,JPY,1145,37770,0.00,0.00%,0,0.00,0.00,< 10 %,10.74%,12.32%,49.16%,38.52%
2024-05-03,02_一般／リースバック-部分一致｜再々構築 #5,25,226,11.06%,JPY,1511,37763,3.00,12.00%,12588,3.00,"3,000.00",< 10 %,13.51%,15.89%,69.51%,14.60%
2024-05-04,02_一般／リースバック-部分一致｜再々構築 #5,21,188,11.17%,JPY,1664,34942,0.00,0.00%,0,0.00,0.00,< 10 %,12.20%,13.69%,61.82%,24.49%
2024-05-05,01_指名,0,0,0,JPY,0,0,0.00,0,0,0.00,0.00, --, --, --, --, --
2024-05-05,02_一般／リースバック-部分一致｜再々構築 #5,31,301,10.30%,JPY,1035,32090,1.00,3.23%,32090,1.00,"1,000.00",< 10 %,15.27%,16.81%,83.19%,0.00%
2024-05-06,01_指名,0,1,0.00%,JPY,0,0,0.00,0,0,0.00,0.00,100.00%,100.00%,100.00%,0.00%,0.00%
2024-05-06,02_一般／リースバック-部分一致｜再々構築 #5,39,338,11.54%,JPY,1076,41952,0.00,0.00%,0,0.00,0.00,< 10 %,17.10%,19.62%,70.13%,10.24%
2024-05-07,02_一般／リースバック-部分一致｜再々構築 #5,41,375,10.93%,JPY,877,35954,2.00,4.88%,17977,2.00,"2,000.00",< 10 %,14.23%,15.84%,64.69%,19.47%
2024-05-08,02_一般／リースバック-部分一致｜再々構築 #5,27,335,8.06%,JPY,1237,33408,1.00,3.70%,33408,1.00,"1,000.00",< 10 %,10.20%,12.16%,57.49%,30.35%
2024-05-09,02_一般／リースバック-部分一致｜再々構築 #5,28,325,8.62%,JPY,1314,36782,2.00,7.14%,18391,2.00,"2,000.00",< 10 %,10.21%,11.55%,55.84%,32.60%
2024-05-10,01_指名,1,1,100.00%,JPY,602,602,0.00,0.00%,0,0.00,0.00,< 10 %,100.00%,100.00%,0.00%,0.00%
2024-05-10,02_一般／リースバック-部分一致｜再々構築 #5,36,312,11.54%,JPY,929,33444,2.00,5.56%,16722,2.00,"2,000.00",< 10 %,10.99%,12.70%,35.28%,52.01%
2024-05-11,02_一般／リースバック-部分一致｜再々構築 #5,25,279,8.96%,JPY,1239,30976,1.00,4.00%,30976,1.00,"1,000.00",< 10 %,11.44%,14.21%,54.77%,31.02%
2024-05-12,02_一般／リースバック-部分一致｜再々構築 #5,49,500,9.80%,JPY,704,34517,0.00,0.00%,0,0.00,0.00,< 10 %,18.05%,20.36%,74.81%,4.83%
2024-05-13,01_指名,0,0,0,JPY,0,0,0.00,0,0,0.00,0.00, --, --, --, --, --
2024-05-13,02_一般／リースバック-部分一致｜再々構築 #5,46,528,8.71%,JPY,806,37057,0.00,0.00%,0,0.00,0.00,< 10 %,12.35%,14.92%,58.24%,26.83%
2024-05-14,01_指名,0,2,0.00%,JPY,0,0,0.00,0,0,0.00,0.00,< 10 %,50.00%,50.00%,50.00%,0.00%
2024-05-14,02_一般／リースバック-部分一致｜再々構築 #5,35,427,8.20%,JPY,954,33400,2.00,5.71%,16700,2.00,"2,000.00",< 10 %,11.03%,13.18%,45.98%,40.83%
2024-05-15,02_一般／リースバック-部分一致｜再々構築 #5,35,363,9.64%,JPY,1115,39020,0.00,0.00%,0,0.00,0.00,< 10 %,10.35%,12.15%,54.02%,33.84%
2024-05-16,02_一般／リースバック-部分一致｜再々構築 #5,44,495,8.89%,JPY,929,40871,2.00,4.55%,20436,2.00,"2,000.00",< 10 %,10.46%,12.44%,55.26%,32.31%
2024-05-17,02_一般／リースバック-部分一致｜再々構築 #5,30,257,11.67%,JPY,930,27888,2.00,6.67%,13944,2.00,"2,000.00",< 10 %,< 10 %,< 10 %,40.33%,50.96%
2024-05-18,02_一般／リースバック-部分一致｜再々構築 #5,40,336,11.90%,JPY,927,37070,0.00,0.00%,0,0.00,0.00,< 10 %,12.66%,14.92%,54.96%,30.12%
2024-05-19,02_一般／リースバック-部分一致｜再々構築 #5,71,551,12.89%,JPY,729,51752,4.00,5.63%,12938,4.00,"4,000.00",< 10 %,16.84%,19.03%,50.02%,30.95%
2024-05-20,02_一般／リースバック-部分一致｜再々構築 #5,74,625,11.84%,JPY,768,56813,3.00,4.05%,18938,3.00,"3,000.00",< 10 %,15.00%,17.23%,30.74%,52.04%
2024-05-21,02_一般／リースバック-部分一致｜再々構築 #5,50,452,11.06%,JPY,1023,51155,1.00,2.00%,51155,1.00,"1,000.00",< 10 %,12.09%,14.48%,51.53%,33.99%
2024-05-22,02_一般／リースバック-部分一致｜再々構築 #5,37,438,8.45%,JPY,1444,53429,4.67,12.61%,11449,4.67,"4,666.67",< 10 %,12.36%,15.04%,37.16%,47.80%
2024-05-23,02_一般／リースバック-部分一致｜再々構築 #5,47,352,13.35%,JPY,1016,47750,3.33,7.09%,14325,3.33,"3,333.33",< 10 %,10.88%,11.95%,24.12%,63.93%
2024-05-23,02_一般／リースバック-完全一致,0,0,0,JPY,0,0,0.00,0,0,0.00,0.00, --, --, --, --, --
2024-05-24,02_一般／リースバック-部分一致｜再々構築 #5,55,498,11.04%,JPY,809,44516,2.00,3.64%,22258,2.00,"2,000.00",< 10 %,16.34%,18.28%,51.21%,30.51%
2024-05-24,02_一般／リースバック-完全一致,16,83,19.28%,JPY,1177,18832,1.00,6.25%,18832,1.00,"1,000.00",16.53%,51.24%,62.81%,37.19%,0.00%
2024-05-25,01_指名,0,1,0.00%,JPY,0,0,0.00,0,0,0.00,0.00,< 10 %,100.00%,100.00%,0.00%,0.00%
2024-05-25,02_一般／リースバック-部分一致｜再々構築 #5,39,402,9.70%,JPY,1067,41627,0.67,1.71%,62440,0.67,666.67,< 10 %,17.50%,19.85%,46.08%,34.07%
2024-05-25,02_一般／リースバック-完全一致,12,56,21.43%,JPY,2128,25541,2.33,19.44%,10946,2.33,"2,333.33",12.88%,33.33%,34.09%,15.91%,50.00%
2024-05-26,02_一般／リースバック-部分一致｜再々構築 #5,32,333,9.61%,JPY,1356,43404,5.00,15.63%,8681,5.00,"5,000.00",< 10 %,15.29%,17.37%,23.42%,59.21%
2024-05-26,02_一般／リースバック-完全一致,7,25,28.00%,JPY,3143,22003,1.00,14.29%,22003,1.00,"1,000.00",< 10 %,21.35%,23.86%,11.36%,64.77%
2024-05-27,02_一般／リースバック-部分一致｜再々構築 #5,65,507,12.82%,JPY,716,46517,1.00,1.54%,46517,1.00,"1,000.00",< 10 %,14.51%,16.24%,33.68%,50.08%
2024-05-27,02_一般／リースバック-完全一致,10,72,13.89%,JPY,2046,20464,0.00,0.00%,0,0.00,0.00,< 10 %,25.47%,30.81%,10.43%,58.77%
2024-05-28,01_指名,0,1,0.00%,JPY,0,0,0.00,0,0,0.00,0.00,< 10 %,100.00%,100.00%,0.00%,0.00%
2024-05-28,02_一般／リースバック-部分一致｜再々構築 #5,39,428,9.11%,JPY,912,35565,2.00,5.13%,17782,2.00,"2,000.00",< 10 %,15.73%,18.67%,42.17%,39.16%
2024-05-28,02_一般／リースバック-完全一致,12,163,7.36%,JPY,1645,19744,1.00,8.33%,19744,1.00,"1,000.00",11.69%,47.98%,54.69%,24.90%,20.41%
2024-05-29,02_一般／リースバック-部分一致｜再々構築 #5,23,307,7.49%,JPY,1313,30195,1.00,4.35%,30195,1.00,"1,000.00",< 10 %,12.88%,15.27%,19.10%,65.63%
2024-05-29,02_一般／リースバック-完全一致,7,91,7.69%,JPY,2561,17928,1.00,14.29%,17928,1.00,"1,000.00",< 10 %,35.32%,37.50%,17.00%,45.50%
2024-05-30,01_指名,1,1,100.00%,JPY,3625,3625,0.00,0.00%,0,0.00,0.00,100.00%,100.00%,100.00%,0.00%,0.00%
2024-05-30,02_一般／リースバック-部分一致｜再々構築 #5,58,546,10.62%,JPY,686,39778,0.00,0.00%,0,0.00,0.00,< 10 %,16.97%,19.06%,33.41%,47.52%
2024-05-30,02_一般／リースバック-完全一致,11,81,13.58%,JPY,1930,21229,0.00,0.00%,0,0.00,0.00,< 10 %,31.12%,39.09%,8.12%,52.79%
2024-05-31,01_指名,0,1,0.00%,JPY,0,0,0.00,0,0,0.00,0.00,< 10 %,< 10 %,100.00%,0.00%,0.00%
2024-05-31,02_一般／リースバック-部分一致｜再々構築 #5,27,241,11.20%,JPY,1235,33347,2.00,7.41%,16674,2.00,"2,000.00",< 10 %,< 10 %,10.97%,36.82%,52.20%
2024-05-31,02_一般／リースバック-完全一致,6,78,7.69%,JPY,2482,14894,0.00,0.00%,0,0.00,0.00,< 10 %,31.86%,35.78%,30.39%,33.82%
2024-06-01,01_指名,0,0,0,JPY,0,0,0.00,0,0,0.00,0.00, --, --, --, --, --
2024-06-01,02_一般／リースバック-部分一致｜再々構築 #5,39,368,10.60%,JPY,857,33426,0.00,0.00%,0,0.00,0.00,< 10 %,14.86%,17.07%,44.62%,38.32%
2024-06-01,02_一般／リースバック-完全一致,11,56,19.64%,JPY,1654,18190,0.00,0.00%,0,0.00,0.00,20.99%,53.09%,58.02%,23.46%,18.52%
2024-06-02,01_指名,0,1,0.00%,JPY,0,0,0.00,0,0,0.00,0.00,< 10 %,100.00%,100.00%,0.00%,0.00%
2024-06-02,02_一般／リースバック-部分一致｜再々構築 #5,42,357,11.76%,JPY,754,31674,2.00,4.76%,15837,2.00,"2,000.00",< 10 %,16.16%,17.81%,22.06%,60.14%
2024-06-02,02_一般／リースバック-完全一致,6,42,14.29%,JPY,2710,16259,0.00,0.00%,0,0.00,0.00,10.00%,30.00%,33.67%,18.37%,47.96%
2024-06-03,02_一般／リースバック-部分一致｜再々構築 #5,50,359,13.93%,JPY,558,27911,1.00,2.00%,27911,1.00,"1,000.00",< 10 %,12.60%,14.61%,23.26%,62.14%
2024-06-03,02_一般／リースバック-完全一致,9,61,14.75%,JPY,1841,16572,0.00,0.00%,0,0.00,0.00,< 10 %,24.21%,26.94%,8.81%,64.25%
2024-06-04,02_一般／リースバック-部分一致｜再々構築 #5,36,323,11.15%,JPY,904,32555,1.00,2.78%,32555,1.00,"1,000.00",< 10 %,12.51%,13.93%,25.04%,61.03%
2024-06-04,02_一般／リースバック-完全一致,8,67,11.94%,JPY,1912,15297,0.00,0.00%,0,0.00,0.00,< 10 %,20.67%,26.92%,7.21%,65.87%
2024-06-05,02_一般／リースバック-部分一致｜再々構築 #5,35,279,12.54%,JPY,832,29115,2.00,5.71%,14558,2.00,"2,000.00",< 10 %,10.38%,12.48%,23.82%,63.70%
2024-06-06,02_一般／リースバック-部分一致｜再々構築 #5,51,448,11.38%,JPY,640,32622,1.50,2.94%,21748,1.50,"1,500.00",< 10 %,12.48%,14.38%,29.90%,55.72%
2024-06-07,02_一般／リースバック-部分一致｜再々構築 #5,45,431,10.44%,JPY,736,33118,1.50,3.33%,22078,1.50,"1,500.00",< 10 %,14.27%,16.22%,29.98%,53.80%
